"Horas_Estudio","Asistencia","Involucramiento_Parental","Acceso_Recursos","Actividades_Extracurriculares","Horas_Sueno","Puntuaciones_Previas","Nivel_Motivacion","Acceso_Internet","Sesiones_Tutoria","Ingresos_Familiares","Calidad_Profesor","Tipo_Escuela","Influencia_Companeros","Actividad_Fisica","Discapacidades_Aprendizaje","Nivel_Educativo_Padres","Distancia_Hogar","Sexo","Puntuacion_Examen"
23,84,"Bajo","Alto","No",7,73,"Baja","Si",0,"Bajo","Media","Publica","Positiva",3,"No","Secundaria","Cerca","Masculino",67
19,64,"Bajo","Medio","No",8,59,"Baja","Si",2,"Medio","Media","Publica","Negativa",4,"No","Universitaria","Moderado","Femenino",61
24,98,"Medio","Medio","Si",7,91,"Media","Si",2,"Medio","Media","Publica","Neutral",4,"No","Postgrado","Cerca","Masculino",74
29,89,"Bajo","Medio","Si",8,98,"Media","Si",1,"Medio","Media","Publica","Negativa",4,"No","Secundaria","Moderado","Masculino",71
19,92,"Medio","Medio","Si",6,65,"Media","Si",3,"Medio","Alta","Publica","Neutral",4,"No","Universitaria","Cerca","Femenino",70
19,88,"Medio","Medio","Si",8,89,"Media","Si",3,"Medio","Media","Publica","Positiva",3,"No","Postgrado","Cerca","Masculino",71
29,84,"Medio","Bajo","Si",7,68,"Baja","Si",1,"Bajo","Media","Privada","Neutral",2,"No","Secundaria","Moderado","Masculino",67
25,78,"Bajo","Alto","Si",6,50,"Media","Si",1,"Alto","Alta","Publica","Negativa",2,"No","Secundaria","Lejos","Masculino",66
17,94,"Medio","Alto","No",6,80,"Alta","Si",0,"Medio","Baja","Privada","Neutral",1,"No","Universitaria","Cerca","Masculino",69
23,98,"Medio","Medio","Si",8,71,"Media","Si",0,"Alto","Alta","Publica","Positiva",5,"No","Secundaria","Moderado","Masculino",72
17,80,"Bajo","Alto","No",8,88,"Media","No",4,"Medio","Alta","Privada","Neutral",4,"No","Universitaria","Moderado","Masculino",68
17,97,"Medio","Alto","Si",6,87,"Baja","Si",2,"Bajo","Alta","Privada","Neutral",2,"No","Secundaria","Cerca","Masculino",71
21,83,"Medio","Medio","Si",8,97,"Baja","Si",2,"Medio","Media","Publica","Positiva",4,"No","Secundaria","Cerca","Masculino",70
9,82,"Medio","Medio","Si",8,72,"Media","Si",2,"Medio","Media","Privada","Positiva",3,"No","Postgrado","Cerca","Masculino",66
10,78,"Medio","Alto","Si",8,74,"Media","Si",1,"Bajo","Media","Privada","Neutral",4,"No","Postgrado","Cerca","Masculino",65
17,68,"Medio","Medio","No",8,70,"Media","Si",2,"Medio","Media","Privada","Positiva",4,"No","Secundaria","Cerca","Femenino",64
14,60,"Medio","Bajo","Si",10,65,"Baja","Si",0,"Alto","Media","Privada","Positiva",3,"No","Universitaria","Cerca","Masculino",60
22,70,"Bajo","Medio","Si",6,82,"Media","Si",1,"Bajo","Alta","Publica","Neutral",3,"No","Secundaria","Cerca","Femenino",65
15,80,"Medio","Medio","Si",9,91,"Baja","Si",3,"Bajo","Media","Publica","Positiva",2,"No","Universitaria","Moderado","Femenino",67
12,75,"Medio","Alto","Si",7,58,"Media","Si",3,"Medio","Media","Privada","Positiva",4,"No","Universitaria","Cerca","Masculino",66
29,78,"Medio","Medio","No",5,99,"Alta","Si",0,"Alto","Media","Publica","Negativa",1,"No","Secundaria","Moderado","Femenino",69
