"Horas_Estudio","Asistencia","Acceso_Recursos","Actividades_Extracurriculares","Horas_Sueno","Puntuaciones_Previas","Acceso_Internet","Sesiones_Tutoria","Ingresos_Familiares","Influencia_Companeros","Actividad_Fisica","Discapacidades_Aprendizaje","Nivel_Educativo_Padres","Distancia_Hogar","Sexo","Puntuacion_Examen","Sesiones_Tutoria_log","Asistencia_log","Asistencia_sqrt","Asistencia_boxcox","Nivel_Motivacion_Media","Nivel_Motivacion_Alta","Involucramiento_Parental_Medio","Involucramiento_Parental_Alto","Calidad_Profesor_Media","Calidad_Profesor_Alta","Tipo_Escuela_Privada"
23,84,"Alto","No",7,73,"Si",0,"Bajo","Positiva",3,"No","Secundaria","Cerca","Masculino",67,0,4.44265125649032,9.16515138991168,30.3326693556488,0,0,0,0,1,0,0
19,64,"Medio","No",8,59,"Si",2,"Medio","Negativa",4,"No","Universitaria","Moderado","Femenino",61,1.09861228866811,4.17438726989564,8,24.8273909713608,0,0,0,0,1,0,0
24,98,"Medio","Si",7,91,"Si",2,"Medio","Neutral",4,"No","Postgrado","Cerca","Masculino",74,1.09861228866811,4.59511985013459,9.89949493661167,33.9516228179442,1,0,1,0,1,0,0
29,89,"Medio","Si",8,98,"Si",1,"Medio","Negativa",4,"No","Secundaria","Moderado","Masculino",71,0.693147180559945,4.49980967033027,9.4339811320566,31.6445331884519,1,0,0,0,1,0,0
19,92,"Medio","Si",6,65,"Si",3,"Medio","Neutral",4,"No","Universitaria","Cerca","Femenino",70,1.38629436111989,4.53259949315326,9.59166304662544,32.4210206311119,1,0,1,0,0,1,0
19,88,"Medio","Si",8,89,"Si",3,"Medio","Positiva",3,"No","Postgrado","Cerca","Masculino",71,1.38629436111989,4.48863636973214,9.38083151964686,31.3839670841923,1,0,1,0,1,0,0
29,84,"Bajo","Si",7,68,"Si",1,"Bajo","Neutral",2,"No","Secundaria","Moderado","Masculino",67,0.693147180559945,4.44265125649032,9.16515138991168,30.3326693556488,0,0,1,0,1,0,1
25,78,"Alto","Si",6,50,"Si",1,"Alto","Negativa",2,"No","Secundaria","Lejos","Masculino",66,0.693147180559945,4.36944785246702,8.83176086632785,28.7270430074796,1,0,0,0,0,1,0
17,94,"Alto","No",6,80,"Si",0,"Medio","Neutral",1,"No","Universitaria","Cerca","Masculino",69,0,4.55387689160054,9.69535971483266,32.9344590650483,0,1,1,0,0,0,1
23,98,"Medio","Si",8,71,"Si",0,"Alto","Positiva",5,"No","Secundaria","Moderado","Masculino",72,0,4.59511985013459,9.89949493661167,33.9516228179442,1,0,1,0,0,1,0
